,Alert,Current Month,Month,Underwater
AAPL,-1.4526238401929277,-2.230495043697294,2025-01-31,18.125
BABA,-2.8423112073277843,-0.49580835165659665,2025-01-31,35.25
BLDR,-1.577510387216603,1.7820453579808673,2025-01-31,41.208333333333336
COST,-1.395568642632398,0.945276661073316,2024-12-31,4.958333333333333
CP,-1.5997623850996583,0.7965594164498834,2025-01-31,48.0
DDOG,-1.9913383012599084,0.15596556545395288,2025-01-31,28.833333333333332
GRBK,-2.705182836269798,0.5500314833436277,2025-01-31,49.291666666666664
MCO,-1.9407252868492664,-2.0562152666087203,2025-01-31,32.0
META,-2.0756494927927944,1.1786948895314489,2025-01-31,27.041666666666668
MMC,-1.1653273244242923,-1.6691028804621966,2024-12-31,9.125
MRUS,-1.9551132371872098,-2.5877177971478815,2025-01-31,42.041666666666664
MSFT,-1.0371250355825508,0.33317335452639235,2025-01-31,20.041666666666668
NEE,-1.1090438529759132,-0.8274182328929418,2025-01-31,46.25
NFLX,-2.5331716357172445,-2.9457823671575607,2025-01-31,28.958333333333332
NUVL,-5.158373125399343,-3.1095084733624354,2025-01-31,33.875
NVDA,-2.7686103389419645,0.015607972464058548,2025-01-31,32.208333333333336
PINS,-2.1186347837070962,-0.06892671088833595,2024-12-31,7.916666666666667
PWR,-2.848793069591466,3.1594463051217825,2025-01-31,50.0
RTX,-2.1750012589323173,0.5631556966199996,2025-01-31,50.083333333333336
SBLK,-3.9230669240126104,-4.579514183239424,2024-12-31,21.875
SE,-3.7468961326368198,0.2764587715214439,2025-01-31,27.041666666666668
SNAP,-3.6914427304637933,3.14585095767981,2025-01-31,33.916666666666664
TDW,-2.8199703620443053,0.6140363580239036,2025-01-31,22.833333333333332
TJX,-1.2767564598366352,-0.6845054691248333,2024-12-31,21.041666666666668
total,-2.329499943795612,-0.32244549943532225,2025-01-15,30.496527777777775
