,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Monthly,Monthly,4.917700591891357,14.584250776540653,-50.206694674522424,140.54166666666666,FADAUSDT
Quarterly,Quarterly,14.02992462959889,13.251109347691996,-50.206694674522424,140.54166666666666,FADAUSDT
Yearly,Yearly,60.30813476160826,33.53721688603893,-50.206694674522424,140.54166666666666,FADAUSDT
Monthly,Monthly,4.449283105352462,13.77272553160148,-49.9187081902623,262.375,FAVAXUSDT
Quarterly,Quarterly,12.541395896812135,28.881966959806334,-49.9187081902623,262.375,FAVAXUSDT
Yearly,Yearly,61.65369603890364,65.68400023316372,-54.45039104085573,262.375,FAVAXUSDT
Monthly,Monthly,2.9586163679158974,7.50524038266351,-20.195497271237198,261.8333333333333,FBNBUSDT
Quarterly,Quarterly,8.508378078777126,14.693153075932955,-20.195497271237198,261.8333333333333,FBNBUSDT
Yearly,Yearly,23.425378114581473,25.55219908007661,-20.195497271237198,261.8333333333333,FBNBUSDT
Monthly,Monthly,2.7775109645051232,6.851887161498112,-25.159982546735076,397.9583333333333,FBTCUSDT
Quarterly,Quarterly,8.549976092832479,11.298782933503688,-29.389919788579867,397.9583333333333,FBTCUSDT
Yearly,Yearly,30.401103665442363,48.216236165670665,-29.389919788579867,397.9583333333333,FBTCUSDT
Monthly,Monthly,1.7070781124068286,6.12822167497242,-22.71439825366376,351.125,FETHUSDT
Quarterly,Quarterly,4.810856498601063,12.228166541307457,-22.71439825366376,351.125,FETHUSDT
Yearly,Yearly,19.148361156221682,25.217059445144184,-30.60762190425296,351.125,FETHUSDT
Monthly,Monthly,3.6104730836335444,13.94123442894819,-53.59921320910974,320.25,FSOLUSDT
Quarterly,Quarterly,5.301967493215758,19.420726285082104,-53.59921320910974,320.25,FSOLUSDT
Yearly,Yearly,39.318020039130445,28.661514228575754,-53.59921320910974,320.25,FSOLUSDT
Monthly,Monthly,4.161701204265929,6.999395738541348,-19.883124892422668,225.95833333333334,FTRXUSDT
Quarterly,Quarterly,10.49178206728452,11.93990686559312,-19.883124892422668,225.95833333333334,FTRXUSDT
Yearly,Yearly,31.162791137050164,28.66313747242287,-19.883124892422668,225.95833333333334,FTRXUSDT
Monthly,Monthly,3.5117662042815923,9.968993670680817,-19.33001072144846,136.875,total
Quarterly,Quarterly,9.176325822445994,15.95911600127395,-19.33001072144846,136.875,total
Yearly,Yearly,37.91678355899114,36.50448050158467,-19.33001072144846,136.875,total
