,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Monthly,Monthly,0.6608404232780877,2.1134642634710152,-5.27070097205499,573.7916666666666,AAPL
Quarterly,Quarterly,1.9127576588191348,3.3706738507185197,-6.730678774386361,573.7916666666666,AAPL
Yearly,Yearly,7.799606711136736,8.004586760583205,-6.730678774386361,573.7916666666666,AAPL
Monthly,Monthly,0.8900197534105811,3.7323309607383655,-9.474553029608535,776.0,BABA
Quarterly,Quarterly,2.54475390325224,7.282439523744932,-15.414360599209337,776.0,BABA
Yearly,Yearly,8.170405659401997,12.748463221687574,-20.123655711874775,776.0,BABA
Monthly,Monthly,0.8865846942788161,2.4640950814954192,-5.437499717472419,547.9583333333334,BLDR
Quarterly,Quarterly,2.5022744104390604,4.657334739553461,-7.777363491467054,547.9583333333334,BLDR
Yearly,Yearly,9.933735272346567,10.455785343706815,-7.974189136625384,547.9583333333334,BLDR
Monthly,Monthly,0.5520363674075839,1.947605010039982,-6.707983897842699,352.9166666666667,COST
Quarterly,Quarterly,1.6177914470875887,3.494284014841081,-10.247824152851834,352.9166666666667,COST
Yearly,Yearly,6.315602524775389,4.071015486392176,-11.636179595784968,352.9166666666667,COST
Monthly,Monthly,0.1687887592934297,1.768551144393088,-4.343294828237125,663.0416666666666,CP
Quarterly,Quarterly,0.5393713642831011,3.0896637080864253,-6.2721627325065645,663.0416666666666,CP
Yearly,Yearly,2.0126776848204755,8.113369140410772,-9.879247095392426,663.0416666666666,CP
Monthly,Monthly,1.3356845158803536,3.327022817140262,-7.7499637702447135,293.125,DDOG
Quarterly,Quarterly,3.764558765621199,4.6490378538715476,-10.752632326743026,293.125,DDOG
Yearly,Yearly,12.61579370231659,14.765836954473551,-12.131363223441534,293.125,DDOG
Monthly,Monthly,-0.2514431025788536,2.4537397336909446,-7.7623525758602625,2883.1666666666665,GRBK
Quarterly,Quarterly,-0.5826940448310318,5.2271927076133125,-12.65717871164991,2883.1666666666665,GRBK
Yearly,Yearly,-1.6346157468795144,9.21998988138248,-21.84342461705315,2883.1666666666665,GRBK
Monthly,Monthly,0.37427113844212395,2.3149964252913904,-7.42830750428372,807.0416666666666,MCO
Quarterly,Quarterly,1.0786641795036191,3.7017700934695097,-8.982668222245513,807.0416666666666,MCO
Yearly,Yearly,3.340189691535687,9.040853726154035,-13.221782761287038,807.0416666666666,MCO
Monthly,Monthly,0.6604410196349737,2.736090512427768,-8.470818011037023,882.125,META
Quarterly,Quarterly,1.9218363789653454,4.5194319540286925,-12.061780279232895,882.125,META
Yearly,Yearly,7.064664156453837,9.012038550057609,-13.676986827373709,882.125,META
Monthly,Monthly,0.3652901676139429,1.5306174920382352,-3.0533793762210046,784.875,MMC
Quarterly,Quarterly,1.0971106067603125,2.36228268001997,-4.6033671366097515,784.875,MMC
Yearly,Yearly,4.750955022545285,8.193179957980597,-6.296476219062609,784.875,MMC
Monthly,Monthly,0.6554892664378968,2.6106025036251066,-6.154020733496006,1145.25,MRUS
Quarterly,Quarterly,2.1030585569649327,4.906948490123961,-8.883329389271086,1145.25,MRUS
Yearly,Yearly,7.557155547448071,14.658745069927324,-17.23614755638589,1145.25,MRUS
Monthly,Monthly,0.6130579117626862,1.650182947345237,-3.955968346391106,454.2083333333333,MSFT
Quarterly,Quarterly,1.799354142954966,2.450673120615478,-4.138601595893531,454.2083333333333,MSFT
Yearly,Yearly,6.283048741375321,5.315277494304547,-5.828809540608018,454.2083333333333,MSFT
Monthly,Monthly,0.3233360141537479,1.432379867129661,-3.5756096185638304,713.0416666666666,NEE
Quarterly,Quarterly,0.9491084342012034,2.32229107507334,-5.079073962946452,713.0416666666666,NEE
Yearly,Yearly,3.3206346665932065,5.491107242579957,-8.17283455476086,713.0416666666666,NEE
Monthly,Monthly,1.290700143089609,3.8238717788068532,-16.910469256840063,720.9166666666666,NFLX
Quarterly,Quarterly,3.879683942624909,6.199112455301887,-16.910469256840063,720.9166666666666,NFLX
Yearly,Yearly,13.886767085194853,16.507174590018277,-30.63671109254667,720.9166666666666,NFLX
Monthly,Monthly,-0.2685358419600628,4.88983728343928,-23.8764536327857,776.0416666666666,NUVL
Quarterly,Quarterly,-1.8299964943899751,4.583557223603549,-24.829608871947713,776.0416666666666,NUVL
Yearly,Yearly,-2.076540464010193,3.2522177343913543,-24.829608871947713,776.0416666666666,NUVL
Monthly,Monthly,0.7353988895991151,3.5040092285410798,-9.854694306234894,1163.9583333333333,NVDA
Quarterly,Quarterly,2.279185995310976,6.475013589725505,-13.795051573684972,1163.9583333333333,NVDA
Yearly,Yearly,8.93110916337318,14.929523040345137,-17.339834858026467,1163.9583333333333,NVDA
Monthly,Monthly,0.9969945967301651,3.1156293804372615,-8.474905290801791,163.91666666666666,PINS
Quarterly,Quarterly,3.1125755395404564,5.435168582817476,-11.03086014114439,163.91666666666666,PINS
Yearly,Yearly,7.2697598235142475,7.968463678531422,-11.03086014114439,163.91666666666666,PINS
Monthly,Monthly,0.5362290117118712,3.385022081303337,-8.758043797432375,774.1666666666666,PWR
Quarterly,Quarterly,1.622284191446891,5.100489525647639,-11.421589201923794,774.1666666666666,PWR
Yearly,Yearly,6.459901895521322,7.546103475946503,-13.409292057338362,774.1666666666666,PWR
Monthly,Monthly,-0.060073004958392684,2.1149282539739245,-9.425636645603182,2874.25,RTX
Quarterly,Quarterly,-0.21568042892901018,2.6221594582585497,-12.552687192760652,2874.25,RTX
Yearly,Yearly,-0.5511681769279633,5.680221202529655,-12.552687192760652,2874.25,RTX
Monthly,Monthly,0.32595995260241456,4.249026876615025,-17.28035658064126,921.25,SBLK
Quarterly,Quarterly,0.9340910216637882,6.675890142708783,-17.28035658064126,921.25,SBLK
Yearly,Yearly,2.8773597895821625,8.094368898035958,-22.36617226382348,921.25,SBLK
Monthly,Monthly,1.2898387979630521,5.036734930599872,-12.152106586217487,776.2083333333334,SE
Quarterly,Quarterly,4.135099629963333,8.631949563993995,-16.526541106248345,776.2083333333334,SE
Yearly,Yearly,15.815500144099133,20.292983803021823,-27.20097968210245,776.2083333333334,SE
Monthly,Monthly,0.46179466204948333,4.153237392513277,-10.852198423536159,952.0416666666666,SNAP
