,0
AAPL,2024-11-25 15:00:00
BABA,2024-11-25 15:00:00
BLDR,2024-11-25 15:00:00
COST,2024-11-25 15:00:00
CP,2024-11-25 15:00:00
DDOG,2024-11-25 15:00:00
GRBK,2024-11-25 15:00:00
MCO,2024-11-25 15:00:00
META,2024-11-25 15:00:00
MMC,2024-11-25 15:00:00
MRUS,2024-11-25 15:00:00
MSFT,2024-11-25 15:00:00
NEE,2024-11-25 15:00:00
NFLX,2024-11-25 15:00:00
NUVL,2024-11-25 15:00:00
NVDA,2024-11-25 15:00:00
PINS,2024-11-25 15:00:00
PWR,2024-11-25 15:00:00
RTX,2024-11-25 15:00:00
SBLK,2024-11-25 15:00:00
SE,2024-11-25 15:00:00
SNAP,2024-11-25 15:00:00
TDW,2024-11-25 15:00:00
TJX,2024-11-25 15:00:00
total,2024-11-25 15:00:00
