,Alert,Current Week,Underwater,Week
AAPL,-0.908829558934184,-0.887170424042597,28.208333333333332,2025-01-26
BABA,-1.4123297046155172,1.6395360433661406,38.25,2025-01-19
BLDR,-0.9109126576532149,0.1811254155785864,50.958333333333336,2025-01-26
COST,-0.7610613719386091,0.09453766443330096,4.958333333333333,2024-12-22
CP,-0.6383653568733695,1.4329563404126056,41.041666666666664,2025-01-26
DDOG,-1.4022055720109605,0.7117438759461802,48.833333333333336,2025-01-26
GRBK,-1.0954328133217073,0.07676617164122218,59.25,2025-01-26
MCO,-0.9835245340400599,0.9298668606135979,43.208333333333336,2025-01-26
META,-1.2049605101188525,1.1847561278280991,27.041666666666668,2025-01-26
MMC,-0.5992516166425131,-0.16493665138551297,9.125,2024-12-22
MRUS,-1.0657644799185044,0.8045069534047506,52.125,2025-01-26
MSFT,-0.5956029732386425,1.3786441721089941,34.25,2025-01-26
NEE,-0.583612412958175,0.32165011647388747,56.291666666666664,2025-01-26
NFLX,-1.6921746713604877,5.513464429320739,41.125,2025-01-26
NUVL,-2.143352417973257,2.43061734293472,43.083333333333336,2025-01-26
NVDA,-1.3246545106756349,1.8695653072249987,41.125,2025-01-26
PINS,-1.2901870369526411,-0.16174747697800196,7.916666666666667,2024-12-22
PWR,-1.2589087392548626,1.0179093981050247,49.958333333333336,2025-01-26
RTX,-0.9384893572561719,0.4904560207328795,59.875,2025-01-26
SBLK,-2.0052659934335355,0.03345098935226451,21.875,2024-12-22
SE,-1.738828551872028,1.3133443557535502,34.0,2025-01-26
SNAP,-1.9239409481331795,-1.706338906064506,33.916666666666664,2025-01-26
TDW,-1.2192678132202377,0.5842635879794789,22.833333333333332,2025-01-26
TJX,-0.5494221168215242,-0.358412179256542,21.041666666666668,2024-12-22
total,-1.1769310716340782,0.7804398139784943,36.26215277777778,2025-01-25
