,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Weekly,Weekly,0.1066537781286697,2.354539640399255,-18.82760701018067,1189.1666666666667,@ES.#
Monthly,Monthly,0.4918052141812891,3.7457835807498134,-18.82760701018067,1189.1666666666667,@ES.#
Quarterly,Quarterly,1.444708578836239,6.587387897388743,-24.101616919122804,1189.1666666666667,@ES.#
Yearly,Yearly,4.8319668601000725,18.957785279644458,-44.67520748316107,1189.1666666666667,@ES.#
Weekly,Weekly,0.04028591265834679,1.5821522113057926,-15.329711634835444,915.0,SW#.C
Monthly,Monthly,0.15197652688796728,3.2070829956447655,-15.488862094623338,915.0,SW#.C
Quarterly,Quarterly,0.6175750338179411,5.682693421837811,-15.488862094623338,915.0,SW#.C
Yearly,Yearly,1.7055974229673874,10.700453245074163,-21.971783636796054,915.0,SW#.C
Weekly,Weekly,0.05112494173936279,2.2301435820380893,-23.042228118852975,1166.0,EX#.
Monthly,Monthly,0.21255355097857112,3.8300400716759153,-32.75452204262742,1166.0,EX#.
Quarterly,Quarterly,0.6455849504963955,6.027387445765307,-41.2616123300078,1166.0,EX#.
Yearly,Yearly,1.2933148977988083,12.429736205279886,-41.2616123300078,1166.0,EX#.
Weekly,Weekly,0.15942351557415976,2.5633173823140947,-18.6193987111848,1189.2083333333333,@NQ.#
Monthly,Monthly,0.695268765573132,4.701082925212408,-18.6193987111848,1189.2083333333333,@NQ.#
Quarterly,Quarterly,2.0092827078495263,9.56499129209141,-22.490230600439595,1189.2083333333333,@NQ.#
Yearly,Yearly,6.703092040370064,22.937491553049405,-39.29125427003626,1189.2083333333333,@NQ.#
Weekly,Weekly,0.1862541990573071,2.2204008234207,-20.788573469478774,1400.875,@YM.#
Monthly,Monthly,0.8359643405906798,4.038833362487056,-24.295807878844034,1400.875,@YM.#
Quarterly,Quarterly,2.4064873529850876,7.382350416456327,-26.335905386200874,1400.875,@YM.#
Yearly,Yearly,9.106551894492883,12.93776243825808,-26.335905386200874,1400.875,@YM.#
Weekly,Weekly,0.05667821198860081,1.9366151767134703,-15.816949137565182,1216.875,LF#.
Monthly,Monthly,0.2515549398275171,3.3707198345072205,-16.421761658836306,1216.875,LF#.
Quarterly,Quarterly,0.7361791176798522,5.50818882343605,-21.63303304738541,1216.875,LF#.
Yearly,Yearly,3.2356774442301734,9.747567519132268,-21.63303304738541,1216.875,LF#.
Weekly,Weekly,0.24612639036524864,2.1154175566505127,-21.098234375121354,503.2916666666667,XG#.
Monthly,Monthly,1.0824024386422961,3.3687004884807386,-29.67428687288665,503.2916666666667,XG#.
Quarterly,Quarterly,3.221666815523427,6.437170077492117,-30.385746820166116,503.2916666666667,XG#.
Yearly,Yearly,11.874085314839256,16.901652852013285,-30.385746820166116,503.2916666666667,XG#.
Weekly,Weekly,0.12093527850167081,2.143226624691702,-99.6573890073002,118.04166666666667,total
Monthly,Monthly,0.5316465395259218,3.7517490369654167,-99.6573890073002,118.04166666666667,total
Quarterly,Quarterly,1.5830692224554956,6.7414527677811105,-99.6573890073002,118.04166666666667,total
Yearly,Yearly,5.535755124971236,14.944635584635932,-99.6573890073002,118.04166666666667,total
