,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Weekly,Weekly,0.6243700672274483,5.237027375038211,-26.10013563202206,415.875,FADAUSDT
Monthly,Monthly,3.1190483792743033,10.596051698072504,-29.726071094496366,415.875,FADAUSDT
Quarterly,Quarterly,6.712345949800337,13.326111969367274,-32.01760441124817,415.875,FADAUSDT
Yearly,Yearly,27.64448991111792,24.124850341644834,-32.17364230278334,415.875,FADAUSDT
Weekly,Weekly,0.4265940568368302,4.054887980632162,-14.927170226535935,241.08333333333334,FAVAXUSDT
Monthly,Monthly,1.8243990432503454,9.24917114038293,-22.13715280344359,241.08333333333334,FAVAXUSDT
Quarterly,Quarterly,5.161403949440972,18.750347049392353,-27.494254029284654,241.08333333333334,FAVAXUSDT
Yearly,Yearly,26.751642619626512,53.93205404762361,-29.66803363204928,241.08333333333334,FAVAXUSDT
Weekly,Weekly,0.5674310138704727,2.6887477414190455,-10.2078076923077,258.875,FBNBUSDT
Monthly,Monthly,2.382193841234228,5.3631239899012995,-17.911082846292366,258.875,FBNBUSDT
Quarterly,Quarterly,7.170971657149939,10.22385208780823,-17.911082846292366,258.875,FBNBUSDT
Yearly,Yearly,25.196681857812525,28.234170112211554,-17.911082846292366,258.875,FBNBUSDT
Weekly,Weekly,-0.012350261635224753,2.0409883438583805,-11.372863689974697,678.125,FBTCUSDT
Monthly,Monthly,0.22683375023920288,4.761415665398136,-16.172151719999583,678.125,FBTCUSDT
Quarterly,Quarterly,0.9278767183444122,6.232636407147348,-21.71508498490355,678.125,FBTCUSDT
Yearly,Yearly,6.000443886903512,2.180828615406816,-21.71508498490355,678.125,FBTCUSDT
Weekly,Weekly,0.2972134004046026,2.8539647920714106,-16.396783412812486,429.0,FETHUSDT
Monthly,Monthly,1.5048192353953647,5.1236600078794305,-17.51377399252638,429.0,FETHUSDT
Quarterly,Quarterly,4.263654500286867,8.97254148968826,-18.50113490378525,429.0,FETHUSDT
Yearly,Yearly,16.000598659835447,4.235646507682895,-18.50113490378525,429.0,FETHUSDT
Weekly,Weekly,0.5874441122519162,5.247504616664617,-38.93314953397039,330.6666666666667,FSOLUSDT
Monthly,Monthly,2.3659967078434403,9.310902840593034,-44.73443396912047,330.6666666666667,FSOLUSDT
Quarterly,Quarterly,4.5957099880169086,14.47699076167568,-44.73443396912047,330.6666666666667,FSOLUSDT
Yearly,Yearly,31.542627552845005,12.46988020872125,-44.73443396912047,330.6666666666667,FSOLUSDT
Weekly,Weekly,0.865225349380002,4.33064844225021,-11.590573347838257,228.95833333333334,FTRXUSDT
Monthly,Monthly,2.6929728149789636,5.6793034662763775,-11.590573347838257,228.95833333333334,FTRXUSDT
Quarterly,Quarterly,6.743659760592254,10.260179693028878,-11.590573347838257,228.95833333333334,FTRXUSDT
Yearly,Yearly,26.43115907572697,6.283404117302778,-11.590573347838257,228.95833333333334,FTRXUSDT
Weekly,Weekly,0.45216697521210053,4.752418368778337,-25.948759280952704,516.75,FXRPUSDT
Monthly,Monthly,1.845836329353122,9.628313966346356,-28.626590943679176,516.75,FXRPUSDT
Quarterly,Quarterly,3.6001748036097863,12.9490565255342,-32.39474403828932,516.75,FXRPUSDT
Yearly,Yearly,20.152893356480106,31.804934345521172,-32.577943378748195,516.75,FXRPUSDT
Weekly,Weekly,0.24579142819436062,5.222099257212232,-41.94947684462001,198.58333333333334,FDOGEUSDT
Monthly,Monthly,1.4851257686209032,12.618289859716015,-66.37030033235749,198.58333333333334,FDOGEUSDT
Quarterly,Quarterly,4.465485371871041,20.233137629616845,-66.37030033235749,198.58333333333334,FDOGEUSDT
Yearly,Yearly,5.632165190148104,18.525385169574406,-66.37030033235749,198.58333333333334,FDOGEUSDT
Weekly,Weekly,4.053886141742509,36.42828691792461,-16.698547583684245,148.375,total
Monthly,Monthly,17.447225870189875,72.33023263456609,-16.698547583684245,148.375,total
Quarterly,Quarterly,43.641282699112516,115.42485361325907,-16.698547583684245,148.375,total
Yearly,Yearly,185.35270211049612,181.7911534656893,-16.698547583684245,148.375,total
