,Period,Expected Returns (%),Deviation (%),Drawdown (%),Underwater (days),symbol
Weekly,Weekly,0.4640585171175689,3.056013084405166,-10.145813306648261,573.7916666666666,AAPL
Monthly,Monthly,1.9849725143039083,6.093127581273071,-15.25088522585648,573.7916666666666,AAPL
Quarterly,Quarterly,5.870427260528169,9.680597704110882,-19.49539045435236,573.7916666666666,AAPL
Yearly,Yearly,23.834051392911224,23.163435217041897,-19.49539045435236,573.7916666666666,AAPL
Weekly,Weekly,0.634457445044842,4.831700155548111,-15.962877563756454,776.0,BABA
Monthly,Monthly,2.730044492397533,10.07814810355325,-26.179525522890213,776.0,BABA
Quarterly,Quarterly,8.008995669400635,20.057739015273384,-42.42672984371672,776.0,BABA
Yearly,Yearly,26.38236457771915,34.86414655841258,-54.497789138560535,776.0,BABA
Weekly,Weekly,0.8156601586727126,4.853015530957831,-20.98616534367371,290.1666666666667,BLDR
Monthly,Monthly,3.619049173528527,10.77133755340838,-23.360858723464638,290.1666666666667,BLDR
Quarterly,Quarterly,10.393248350887115,20.980483179861437,-33.234544919205824,290.1666666666667,BLDR
Yearly,Yearly,41.01402249047477,48.30280877944144,-34.1144801368661,290.1666666666667,BLDR
Weekly,Weekly,0.3737186909879691,2.431438258546699,-11.73583384650889,352.9166666666667,COST
Monthly,Monthly,1.6404178784022807,5.497233801402235,-18.78598369058683,352.9166666666667,COST
Quarterly,Quarterly,4.812688621986546,9.838796640318737,-28.562234310697317,352.9166666666667,COST
Yearly,Yearly,18.796961250441722,11.449206647813556,-32.206871713819986,352.9166666666667,COST
Weekly,Weekly,0.2224913412258253,2.8235108552014143,-12.713528465790253,632.8333333333334,CP
Monthly,Monthly,0.9627459923772371,7.081492647553047,-17.339864441055774,632.8333333333334,CP
Quarterly,Quarterly,3.074519579985317,12.511992891157576,-24.861984734797296,632.8333333333334,CP
Yearly,Yearly,11.549800964538235,32.45858624421084,-38.06488475084023,632.8333333333334,CP
Weekly,Weekly,1.0284885158942942,6.708433130419025,-24.204241072020377,293.125,DDOG
Monthly,Monthly,4.496277416016357,12.376378594676506,-28.278660786164284,293.125,DDOG
Quarterly,Quarterly,13.086710270029482,18.410286990468787,-38.95851027430012,293.125,DDOG
Yearly,Yearly,43.58145909699018,59.042130277361714,-43.86371069357684,293.125,DDOG
Weekly,Weekly,-0.16397700630468254,4.411460341114494,-22.206639321326715,2880.125,GRBK
Monthly,Monthly,-0.6474348805791165,9.177889913254543,-28.725689404635368,2880.125,GRBK
Quarterly,Quarterly,-1.3686556538303636,19.9000043020481,-46.061676169010376,2880.125,GRBK
