,FADAUSDT,FAVAXUSDT,FBNBUSDT,FBTCUSDT,FETHUSDT,FSOLUSDT,FTRXUSDT,FXRPUSDT,FDOGEUSDT,total
2025-03-01 00:00:00,54.761904761904766,34.78260869565217,48.275862068965516,52.5,54.54545454545454,,46.55172413793103,57.49999999999999,44.827586206896555,49.21814255210057
2025-02-01 00:00:00,64.44444444444444,51.724137931034484,53.191489361702125,50.0,63.63636363636363,,66.66666666666666,0.0,,49.95187172003019
2025-01-01 00:00:00,100.0,63.63636363636363,40.0,56.36363636363636,45.83333333333333,,50.0,,,59.30555555555555
2024-12-01 00:00:00,65.38461538461539,48.38709677419355,57.8125,54.6875,41.66666666666667,33.33333333333333,62.5,,,51.967387451258425
2024-11-01 00:00:00,67.12328767123287,,51.724137931034484,69.04761904761905,72.97297297297297,68.0,67.74193548387096,62.22222222222222,59.375,64.77589691611908
2024-10-01 00:00:00,41.37931034482759,,61.904761904761905,51.85185185185185,,38.46153846153847,100.0,,,58.719492512595956
2024-09-01 00:00:00,73.68421052631578,,,69.04761904761905,,74.07407407407408,,,75.0,72.95147591200222
2024-08-01 00:00:00,53.333333333333336,,,55.319148936170215,,,,,62.96296296296296,57.205148410822176
2024-07-01 00:00:00,51.35135135135135,59.375,,43.18181818181818,50.0,,0.0,,,40.78163390663391
2024-06-01 00:00:00,62.857142857142854,61.111111111111114,,53.84615384615385,55.00000000000001,62.5,100.0,,61.53846153846154,65.26469562183847
2024-05-01 00:00:00,62.857142857142854,58.620689655172406,,56.666666666666664,71.05263157894737,50.0,55.55555555555556,44.44444444444444,82.75862068965517,60.24446893094806
2024-04-01 00:00:00,53.84615384615385,55.00000000000001,46.42857142857143,51.92307692307693,,,33.33333333333333,42.857142857142854,66.66666666666666,50.00784929356358
2024-03-01 00:00:00,67.6923076923077,65.38461538461539,65.0,80.0,,,60.0,69.38775510204081,69.49152542372882,68.13660051467039
2023-11-01 00:00:00,50.0,66.10169491525424,,,54.83870967741935,,66.66666666666666,,42.857142857142854,56.09284282329662
2023-10-01 00:00:00,58.06451612903226,56.00000000000001,100.0,60.71428571428571,57.14285714285714,71.42857142857143,83.33333333333334,,,69.52622339258285
2023-08-01 00:00:00,40.0,30.0,60.0,55.55555555555556,71.42857142857143,70.37037037037037,100.0,50.0,60.0,59.706055261610814
2023-07-01 00:00:00,47.368421052631575,46.15384615384615,64.28571428571429,36.36363636363637,63.1578947368421,65.38461538461539,53.84615384615385,59.09090909090909,,54.456398864293604
2023-06-01 00:00:00,60.71428571428571,66.66666666666666,,,70.58823529411765,68.0,47.368421052631575,,,62.66752174554032
2023-05-01 00:00:00,68.42105263157895,77.77777777777779,57.14285714285714,70.83333333333334,65.0,41.17647058823529,57.14285714285714,53.84615384615385,60.0,61.260055829199274
2023-04-01 00:00:00,57.14285714285714,72.22222222222221,81.81818181818183,,60.0,,57.14285714285714,68.42105263157895,43.75,62.92816727967103
2023-03-01 00:00:00,60.71428571428571,50.0,62.96296296296296,,,61.53846153846154,69.56521739130434,69.23076923076923,61.111111111111114,62.16040113555641
2023-02-01 00:00:00,74.07407407407408,55.55555555555556,44.0,57.14285714285714,,,56.25,58.333333333333336,41.66666666666667,55.28892668178383
2022-12-01 00:00:00,57.14285714285714,55.00000000000001,50.0,66.66666666666666,,,33.33333333333333,70.83333333333334,46.666666666666664,54.234693877551024
2022-10-01 00:00:00,54.83870967741935,,37.5,,37.5,,28.57142857142857,54.285714285714285,66.66666666666666,46.560419866871484
2022-09-01 00:00:00,51.724137931034484,,47.05882352941176,,,68.75,,62.06896551724138,82.35294117647058,62.39097363083165
2022-08-01 00:00:00,64.81481481481481,33.33333333333333,69.23076923076923,,,,70.0,42.857142857142854,63.1578947368421,57.232325828817046
2022-07-01 00:00:00,55.00000000000001,,55.26315789473685,,,,57.14285714285714,60.71428571428571,59.25925925925925,57.47591200222779
2022-06-01 00:00:00,77.19298245614034,59.25925925925925,,66.66666666666666,71.42857142857143,65.07936507936508,61.53846153846154,72.72727272727273,,67.698939879391
2022-05-01 00:00:00,63.829787234042556,,72.58064516129032,61.111111111111114,,60.60606060606061,59.57446808510638,57.692307692307686,,62.565729981653114
2022-04-01 00:00:00,68.57142857142857,,47.05882352941176,66.66666666666666,,61.53846153846154,,68.29268292682927,57.57575757575758,61.61730346809256
2024-02-01 00:00:00,,70.0,71.42857142857143,71.42857142857143,60.86956521739131,,42.857142857142854,64.0,70.0,64.36912156166815
2023-12-01 00:00:00,,66.17647058823529,71.42857142857143,,52.0,,66.66666666666666,60.0,,63.25434173669468
2023-09-01 00:00:00,,66.66666666666666,42.857142857142854,60.0,40.0,35.294117647058826,100.0,45.45454545454545,,55.75321037505911
2023-01-01 00:00:00,,65.78947368421053,67.85714285714286,,66.66666666666666,,,68.42105263157895,55.55555555555556,64.8579782790309
2024-01-01 00:00:00,,,62.96296296296296,,60.0,,50.0,46.15384615384615,,54.77920227920228
2022-11-01 00:00:00,,,65.78947368421053,47.61904761904761,,64.44444444444444,53.333333333333336,67.44186046511628,60.46511627906976,59.84887930420367
